zip,city,cnty_fips_cd,county,urban_rural_ind,st_cd,st_nm,region_hhs_id,region_hhs_nm,div_cens_id,div_cens_nm,region_cens_id,region_cens_nm,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,
50511,Algona,109,Kossuth,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.0719,-94.2266,0.33781008,0.02218482,0
50535,Early,161,Sac,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4592,-95.1537,0.33034408,0.00808769,0
50543,Gowrie,187,Webster,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.2794,-94.2965,0.34160061,0.00850784,0
50563,Manson,25,Calhoun,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5292,-94.5382,0.33727515,0.01174382,0
50575,Pomeroy,25,Calhoun,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5525,-94.6873,0.33536836,0.01153505,0
50579,Rockwell City,25,Calhoun,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.397,-94.638,0.33684862,0.00910293,0
50583,Sac City,161,Sac,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4227,-94.9926,0.33247292,0.00811104,0
50595,Webster City,79,Hamilton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4626,-93.8232,0.34615645,0.01355707,0
50603,Alta Vista,37,Chickasaw,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.195,-92.4467,0.35790407,0.03170351,0
50619,Clarksville,23,Butler,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.7874,-92.6663,0.35785281,0.02391884,0
50627,Eldora,83,Hardin,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.3571,-93.1013,0.35534895,0.0148257,0
50635,Gladbrook,171,Tama,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.1846,-92.7112,0.36102703,0.01360914,0
50643,Hudson,13,Black Hawk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.3986,-92.4579,0.36270619,0.01830009,0
50651,La Porte City,13,Black Hawk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.3228,-92.1942,0.36629171,0.01818613,0
50659,New Hampton,37,Chickasaw,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.0687,-92.3164,0.36020748,0.03014811,0
50667,Raymond,13,Black Hawk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4688,-92.2303,0.36495475,0.02047203,0
50675,Traer,171,Tama,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.1926,-92.4738,0.36379295,0.01477787,0
50703,Waterloo,13,Black Hawk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5157,-92.3249,0.36354819,0.02084327,0
50707,Evansdale,13,Black Hawk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.477,-92.2831,0.36428147,0.02037786,0
50851,Lenox,173,Taylor,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.8914,-94.548,0.34659692,-0.01597155,0
51003,Alton,167,Sioux,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.9867,-96.0077,0.31725051,0.01372425,0
51023,Hawarden,167,Sioux,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.9997,-96.4751,0.31163031,0.01217842,0
51027,Ireton,167,Sioux,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.9554,-96.3274,0.31362447,0.01197847,0
51031,Le Mars,149,Plymouth,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.7952,-96.1718,0.31634462,0.0098387,0
